date,id,system_time_start
2020-04-10,20200410T190911_20200410T191618_T10TES_2020_04_10,2020-04-10 19:21:35.702
2020-04-12,20200412T185909_20200412T190129_T10TDR_2020_04_12,2020-04-12 19:11:45.199
2020-04-12,20200412T185909_20200412T190129_T10TDS_2020_04_12,2020-04-12 19:11:40.124
2020-04-12,20200412T185909_20200412T190129_T10TER_2020_04_12,2020-04-12 19:11:44.604
2020-04-12,20200412T185909_20200412T190129_T10TES_2020_04_12,2020-04-12 19:11:37.143
2020-04-12,20200412T185909_20200412T190129_T10TFR_2020_04_12,2020-04-12 19:11:42.978
2020-04-12,20200412T185909_20200412T190129_T10TFS_2020_04_12,2020-04-12 19:11:33.740
2020-04-12,20200412T185909_20200412T190129_T10TGR_2020_04_12,2020-04-12 19:11:41.213
2020-04-12,20200412T185909_20200412T190129_T11TLL_2020_04_12,2020-04-12 19:11:35.275
2020-04-12,20200412T185909_20200412T190129_T11TLM_2020_04_12,2020-04-12 19:11:25.490
2020-04-12,20200412T185909_20200412T191139_T10TCN_2020_04_12,2020-04-12 19:12:42.466
2020-04-12,20200412T185909_20200412T191139_T10TCP_2020_04_12,2020-04-12 19:12:30.616
2020-04-12,20200412T185909_20200412T191139_T10TDN_2020_04_12,2020-04-12 19:12:38.743
2020-04-12,20200412T185909_20200412T191139_T10TDP_2020_04_12,2020-04-12 19:12:24.404
2020-04-12,20200412T185909_20200412T191139_T10TDQ_2020_04_12,2020-04-12 19:12:09.846
2020-04-12,20200412T185909_20200412T191139_T10TDR_2020_04_12,2020-04-12 19:11:54.983
2020-04-12,20200412T185909_20200412T191139_T10TDS_2020_04_12,2020-04-12 19:11:45.679
2020-04-12,20200412T185909_20200412T191139_T10TEM_2020_04_12,2020-04-12 19:12:49.584
2020-04-12,20200412T185909_20200412T191139_T10TEN_2020_04_12,2020-04-12 19:12:35.177
2020-04-12,20200412T185909_20200412T191139_T10TEP_2020_04_12,2020-04-12 19:12:20.770
2020-04-12,20200412T185909_20200412T191139_T10TEQ_2020_04_12,2020-04-12 19:12:06.278
2020-04-12,20200412T185909_20200412T191139_T10TER_2020_04_12,2020-04-12 19:11:51.918
2020-04-12,20200412T185909_20200412T191139_T10TES_2020_04_12,2020-04-12 19:11:44.391
2020-04-12,20200412T185909_20200412T191139_T10TFM_2020_04_12,2020-04-12 19:12:45.745
2020-04-12,20200412T185909_20200412T191139_T10TFN_2020_04_12,2020-04-12 19:12:31.087
2020-04-12,20200412T185909_20200412T191139_T10TFP_2020_04_12,2020-04-12 19:12:16.663
2020-04-12,20200412T185909_20200412T191139_T10TFQ_2020_04_12,2020-04-12 19:12:02.532
2020-04-12,20200412T185909_20200412T191139_T10TFR_2020_04_12,2020-04-12 19:11:49.735
2020-04-12,20200412T185909_20200412T191139_T10TGR_2020_04_12,2020-04-12 19:11:47.941
2020-04-13,20200413T182919_20200413T183311_T11TMG_2020_04_13,2020-04-13 18:42:45.183
2020-04-13,20200413T182919_20200413T183311_T11TNG_2020_04_13,2020-04-13 18:42:41.493
2020-04-14,20200414T184921_20200414T185655_T10TEM_2020_04_14,2020-04-14 19:02:55.779
2020-04-14,20200414T184921_20200414T185655_T10TEN_2020_04_14,2020-04-14 19:02:41.927
2020-04-14,20200414T184921_20200414T185655_T10TEP_2020_04_14,2020-04-14 19:02:30.142
2020-04-14,20200414T184921_20200414T185655_T10TFM_2020_04_14,2020-04-14 19:02:52.887
2020-04-14,20200414T184921_20200414T185655_T10TFN_2020_04_14,2020-04-14 19:02:38.309
2020-04-14,20200414T184921_20200414T185655_T10TFP_2020_04_14,2020-04-14 19:02:23.850
2020-04-14,20200414T184921_20200414T185655_T10TFQ_2020_04_14,2020-04-14 19:02:09.179
2020-04-14,20200414T184921_20200414T185655_T10TFR_2020_04_14,2020-04-14 19:01:54.286
2020-04-14,20200414T184921_20200414T185655_T10TGM_2020_04_14,2020-04-14 19:02:49.631
2020-04-14,20200414T184921_20200414T185655_T10TGN_2020_04_14,2020-04-14 19:02:35.191
2020-04-14,20200414T184921_20200414T185655_T11TKG_2020_04_14,2020-04-14 19:02:49.667
2020-04-14,20200414T184921_20200414T185655_T11TLG_2020_04_14,2020-04-14 19:02:45.192
2020-04-14,20200414T184921_20200414T185655_T11TMH_2020_04_14,2020-04-14 19:02:21.733
2020-04-16,20200416T183919_20200416T184043_T10TGM_2020_04_16,2020-04-16 18:52:48.645
2020-04-16,20200416T183919_20200416T184043_T11TKG_2020_04_16,2020-04-16 18:52:48.712
2020-04-16,20200416T183919_20200416T184043_T11TLG_2020_04_16,2020-04-16 18:52:45.057
2020-04-16,20200416T183919_20200416T184043_T11TLM_2020_04_16,2020-04-16 18:51:35.730
2020-04-16,20200416T183919_20200416T184043_T11TMG_2020_04_16,2020-04-16 18:52:41.280
2020-04-16,20200416T183919_20200416T184043_T11TMM_2020_04_16,2020-04-16 18:51:29.245
2020-04-16,20200416T183919_20200416T184043_T11TNM_2020_04_16,2020-04-16 18:51:25.498
2020-04-17,20200417T185921_20200417T190654_T10TCP_2020_04_17,2020-04-17 19:12:34.625
2020-04-17,20200417T185921_20200417T190654_T10TDN_2020_04_17,2020-04-17 19:12:42.833
2020-04-17,20200417T185921_20200417T190654_T10TDP_2020_04_17,2020-04-17 19:12:28.485
2020-04-17,20200417T185921_20200417T190654_T10TDQ_2020_04_17,2020-04-17 19:12:13.941
2020-04-17,20200417T185921_20200417T190654_T10TDR_2020_04_17,2020-04-17 19:11:59.068
2020-04-17,20200417T185921_20200417T190654_T10TDS_2020_04_17,2020-04-17 19:11:44.944
2020-04-17,20200417T185921_20200417T190654_T10TEM_2020_04_17,2020-04-17 19:12:53.658
2020-04-17,20200417T185921_20200417T190654_T10TEP_2020_04_17,2020-04-17 19:12:24.850
2020-04-17,20200417T185921_20200417T190654_T10TEQ_2020_04_17,2020-04-17 19:12:10.360
2020-04-17,20200417T185921_20200417T190654_T10TER_2020_04_17,2020-04-17 19:11:55.867
2020-04-17,20200417T185921_20200417T190654_T10TES_2020_04_17,2020-04-17 19:11:41.285
2020-04-17,20200417T185921_20200417T190654_T10TFQ_2020_04_17,2020-04-17 19:12:06.603
2020-04-17,20200417T185921_20200417T190654_T10TFR_2020_04_17,2020-04-17 19:11:52.241
2020-04-17,20200417T185921_20200417T190654_T10TFS_2020_04_17,2020-04-17 19:11:37.817
2020-04-17,20200417T185921_20200417T190654_T10TGQ_2020_04_17,2020-04-17 19:12:02.229
2020-04-17,20200417T185921_20200417T190654_T10TGR_2020_04_17,2020-04-17 19:11:48.480
2020-04-17,20200417T185921_20200417T190654_T10TGS_2020_04_17,2020-04-17 19:11:33.814
2020-04-17,20200417T185921_20200417T190654_T11TLL_2020_04_17,2020-04-17 19:11:39.317
2020-04-17,20200417T185921_20200417T190654_T11TLM_2020_04_17,2020-04-17 19:11:29.530
2020-04-18,20200418T182921_20200418T183311_T11TMG_2020_04_18,2020-04-18 18:42:49.636
2020-04-18,20200418T182921_20200418T183311_T11TMH_2020_04_18,2020-04-18 18:42:37.826
2020-04-18,20200418T182921_20200418T183311_T11TNG_2020_04_18,2020-04-18 18:42:45.970
2020-04-18,20200418T182921_20200418T183311_T11TNH_2020_04_18,2020-04-18 18:42:31.571
2020-04-19,20200419T184909_20200419T185248_T10TEP_2020_04_19,2020-04-19 19:02:25.803
2020-04-19,20200419T184909_20200419T185248_T10TFR_2020_04_19,2020-04-19 19:01:49.826
2020-04-19,20200419T184909_20200419T185248_T10TGS_2020_04_19,2020-04-19 19:01:32.301
2020-04-19,20200419T184909_20200419T185248_T11TLM_2020_04_19,2020-04-19 19:01:29.628
2020-04-19,20200419T184909_20200419T185248_T11TMH_2020_04_19,2020-04-19 19:02:17.375
2020-04-19,20200419T184909_20200419T185248_T11TNL_2020_04_19,2020-04-19 19:01:28.744
2020-04-20,20200420T190911_20200420T191323_T10TDQ_2020_04_20,2020-04-20 19:22:11.318
2020-04-20,20200420T190911_20200420T191323_T10TEP_2020_04_20,2020-04-20 19:22:17.536
2020-04-20,20200420T190911_20200420T191323_T10TEQ_2020_04_20,2020-04-20 19:22:06.612
2020-04-20,20200420T190911_20200420T191323_T10TER_2020_04_20,2020-04-20 19:21:52.868
2020-04-21,20200421T183921_20200421T184607_T11TLM_2020_04_21,2020-04-21 18:51:41.323
2020-04-21,20200421T183921_20200421T184607_T11TMH_2020_04_21,2020-04-21 18:52:32.675
2020-04-21,20200421T183921_20200421T184607_T11TMM_2020_04_21,2020-04-21 18:51:34.928
2020-04-21,20200421T183921_20200421T184607_T11TNJ_2020_04_21,2020-04-21 18:52:14.233
2020-04-21,20200421T183921_20200421T184607_T11TNK_2020_04_21,2020-04-21 18:51:59.946
2020-04-21,20200421T183921_20200421T184607_T11TNL_2020_04_21,2020-04-21 18:51:45.571
